Rank,name,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,Age (by 10/16),Position,Height w/ shoes,Wingspan,Reach,Hand width,Weight (lbs),Max Vertical,Lane (sec),Shuttle (sec),3/4 Sprint (sec),School,GP,MP,PTS,REB,AST,STL,BLK,TOV,PF,FGA,FG%,2PA,2P%,NCAA__3ptapg,NCAA__3ptpct,FTA,NCAA_ft,TS%,PTS/36,REB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
90,"Teske, Jon",92,86.25,93,116,95,88,68,64,102,64,23,C,"7'1""",,,,265,,,,,Michigan,31,27.9,11.6,6.7,1.1,1.0,1.8,1.5,2.5,9.4,0.478,7.3,0.544,2.1,0.246,2.9,0.714,0.543,15.0,8.6,1.4,1.3,2.3,1.9,3.2,12.1,9.4,2.7,3.7,https://www.sports-reference.com/cbb/players/jon-teske-1.html
91,"Mike, Isiaha",93,86.63,114,82,90,116,85,64,78,64,23,PF,"6'8""",,,,215,,,,,Southern Methodist,30,30.7,14.0,6.3,1.8,1.4,0.6,2.0,2.7,10.3,0.481,4.7,0.603,5.6,0.377,2.6,0.805,0.612,16.4,7.4,2.1,1.6,0.7,2.3,3.2,12.1,5.5,6.6,3.0,https://www.sports-reference.com/cbb/players/isiaha-mike-1.html
92,"Baldwin, Kamar",94,87.25,114,78,99,92,85,64,102,64,23,PG,"6'1""","6'6""",,,195,,,,,Butler,31,31.6,16.2,4.6,3.3,1.1,0.5,2.0,1.8,14.4,0.419,10.1,0.457,4.3,0.331,3.2,0.850,0.512,18.5,5.2,3.8,1.3,0.6,2.3,2.1,16.4,11.5,4.9,3.6,https://www.sports-reference.com/cbb/players/kamar-baldwin-1.html
93,"Tyree, Breein",95,87.38,114,80,93,97,85,64,102,64,22,PG,"6'2""",,,,195,,,,,Mississippi,31,34.6,19.7,3.7,2.5,1.3,0.1,2.5,2.1,15.0,0.427,9.3,0.469,5.7,0.360,5.8,0.822,0.561,20.5,3.8,2.6,1.4,0.1,2.6,2.2,15.6,9.7,5.9,6.0,https://www.sports-reference.com/cbb/players/breein-tyree-1.html
94,"Olinde, Louis",96,90.25,76,116,116,99,85,64,102,64,22,SF,"6'10""","7'1""",,,188,,,,,Germany,21,23.3,6.8,5.3,1.0,0.3,1.0,0.7,2.6,5.3,0.423,2.2,0.554,3.1,0.328,1.4,0.900,0.575,10.5,8.2,1.5,0.5,1.5,1.1,4.0,8.2,3.5,4.8,2.2,https://basketball.realgm.com/player/Louis-Olinde/Summary/76161
95,"Krejci, Vit",97,91.75,96,116,116,116,85,64,77,64,20,PG,"6'8""",,,,195,,,,,Czech Republic,18,7.6,3.2,1.1,0.4,0.2,0.1,0.6,1.8,2.0,0.611,1.2,0.810,0.8,0.330,0.7,0.692,0.693,15.2,5.2,1.9,0.9,0.5,2.8,8.5,9.5,5.7,3.8,3.3,https://www.basketball-reference.com/international/players/vit-krejci-1.html
96,"Enoch, Steven",98,91.88,114,74,116,116,85,64,102,64,23,C,"6'10""",,,,250,,,,,Louisville,31,20.4,9.5,5.6,0.4,0.3,0.6,1.4,2.3,7.2,0.516,6.3,0.541,0.1,0.333,2.4,0.740,0.575,16.8,9.9,0.7,0.5,1.1,2.5,4.1,12.7,11.1,0.2,4.2,https://www.sports-reference.com/cbb/players/steven-enoch-1.html
97,"Williams, Emmitt",99,92.13,114,116,97,95,85,64,102,64,22,SF,"6'6""","7'0""",,,230,,,,,Louisiana State,31,28.0,13.3,6.6,1.2,0.8,1.2,1.9,2.7,8.4,0.560,7.7,0.571,0.6,0.421,4.7,0.769,0.635,17.1,8.5,1.5,1.0,1.5,2.4,3.5,10.8,9.9,0.8,6.0,https://www.sports-reference.com/cbb/players/emmitt-williams-1.html
98,"Simanic, Borisa",100,92.13,74,116,116,116,85,64,102,64,22,PF,"7'0""","7'3""",,,203,,,,,Serbia,20,12.7,4.0,1.2,0.6,0.3,0.5,0.7,1.6,2.8,0.564,1.2,0.625,1.6,0.516,0.2,0.500,0.693,11.3,3.4,1.7,0.9,1.4,2.0,4.5,7.9,3.4,4.5,0.6,https://www.basketball-reference.com/international/players/borisa-simanic-1.html
99,"Heron, Mustapha",101,92.25,114,77,116,116,85,64,102,64,22,SG,"6'5""",,,,220,,,,,St. Johns,21,24.8,13.8,2.4,1.6,0.5,0.3,1.6,2.6,11.1,0.385,6.0,0.384,5.2,0.385,3.9,0.827,0.538,20.0,3.5,2.3,0.7,0.4,2.3,3.8,16.1,8.7,7.5,5.7,https://www.sports-reference.com/cbb/players/mustapha-heron-1.html
100,"Toolson, Jake",102,92.63,114,116,80,116,85,64,102,64,24,SG,"6'5""",,,,205,,,,,Brigham Young,32,33.6,15.2,4.8,3.9,1.1,0.4,2.0,1.4,11.3,0.472,5.7,0.475,5.7,0.470,2.3,0.797,0.617,16.3,5.1,4.2,1.2,0.4,2.1,1.5,12.1,6.1,6.1,2.5,https://www.sports-reference.com/cbb/players/jake-toolson-1.html
101,"Radanov, Aleksa",103,92.88,80,116,116,116,85,64,102,64,22,SG,"6'8""",,,,200,,,,,Serbia,21,26.7,11.1,4.1,2.6,0.9,0.1,1.8,2.1,7.6,0.537,5.2,0.644,2.4,0.314,2.9,0.733,0.625,15.0,5.5,3.5,1.2,0.1,2.4,2.8,10.2,7.0,3.2,3.9,https://basketball.realgm.com/player/Aleksa-Radanov/Summary/54448
102,"Ilic, Dalibor",104,93.00,114,83,116,116,85,64,102,64,20,SF,"6'8""",6'11',,,205,,,,,Serbia,15,25.7,11.2,9.1,2.1,0.9,0.7,1.7,2.5,7.8,0.598,6.0,0.723,0.3,0.185,2.3,0.657,0.635,15.7,12.7,2.9,1.3,1.0,2.4,3.5,10.9,8.4,0.4,3.2,https://basketball.realgm.com/player/Dalibor-Ilic/Summary/97161
103,"Dimitrijevic, Nenad",105,93.00,81,116,116,116,85,64,102,64,22,PG,6'2',,,,170,,,,,Macedonia,21,18.2,8.0,1.7,3.3,0.6,0.0,2.3,2.4,6.3,0.477,4.4,0.543,1.9,0.325,1.6,0.853,0.571,15.8,3.4,6.5,1.2,0.0,4.5,4.7,12.5,8.7,3.8,3.2,https://www.basketball-reference.com/international/players/nenad-dimitrijevic-1.html
104,"Cowan, Anthony",106,93.13,114,84,116,116,85,64,102,64,23,PG,"6'0""",,,,170,,,,,Maryland,31,34.7,16.3,3.6,4.7,1.0,0.2,2.2,2.0,11.5,0.390,5.9,0.456,5.6,0.322,6.8,0.811,0.562,16.9,3.7,4.9,1.0,0.2,2.3,2.1,11.9,6.1,5.8,7.1,https://www.sports-reference.com/cbb/players/anthony-cowan-1.html
