Name,Age,MP,dPG%,dSG%,dSF%,dPF%,dC%,VR,MD,DEFL,FREQ,LT_06_%,PM,raDRDB,raDTOV
Chris DuarteSAC | SG,26,719,29.9,28.6,21.1,14.1,6.3,63,29,1.8,38.6,58.8,-2.7,-0.66,-0.07
Jordan NworaTOR | PF,25,712,15.5,20.6,34.2,20.1,9.6,71,18,1.6,47.9,62.2,-0.5,-1.11,-0.12
LaMelo BallCHA | PG,22,711,31.5,27.6,22.1,11.2,7.7,58,44,3.2,40.6,69.8,5.6,-0.71,0.44
Chris BoucherTOR | C,31,705,11.5,16.9,23.6,26.5,21.5,95,19,1.7,41.9,64.5,1.5,-0.71,0.64
Jacob GilyardBKN | PG,25,699,30.1,34.6,20.8,8.5,6,32,24,4.1,39.6,74.2,11.7,,
Bruno FernandoATL | C,25,682,7.1,4.8,8.1,17.4,62.6,3,19,1.8,50,62.8,-0.3,0.92,-0.65
Dalen TerryCHI | SG,21,681,19.6,24.5,31.9,18.2,5.8,67,19,2.9,35.5,52.4,-10.1,-0.23,0.06
Gary Payton IIGSW | SG,31,680,28.8,33.2,11.6,16.3,10.1,57,33,4.7,34.2,67.4,3.9,0.59,1.02
Mason PlumleeLAC | C,33,674,6.5,10.1,13.1,20.1,50.1,14,22,2.1,48.2,58.3,-6.4,1.12,0.11
Davis BertansCHA | PF,31,674,9.2,24.9,33.3,22.6,9.9,58,20,2.3,34.8,63.8,1.7,0.61,-0.18
Keita Bates-DiopBKN | PF,28,665,12,17.8,23.7,33.3,13.1,75,24,1.9,39.5,56.8,-5.8,0.68,-0.1
Jalen WilsonBKN | SF,23,664,15.7,23.6,24.9,28.4,7.4,79,20,1.2,29.1,65,3.4,,
Craig Porter Jr.CLE | PG,23,649,38.9,29.1,19.1,6.9,6,23,20,2.2,39.4,62.5,1.9,,
Oshae BrissettBOS | PF,25,630,15.2,16.6,19.6,32.3,16.3,89,15,2.2,37.8,54.8,-5.9,-0.11,0.19
Danilo GallinariMIL | PF,35,630,8.7,12.1,19,25.7,34.5,56,20,1.7,45.7,65.6,1.5,0.58,-0.44
Jordan McLaughlinMIN | PG,27,626,41.7,28.6,17.4,7.1,5.1,19,18,3.8,32.8,60.6,-1,1.14,0.64
Seth CurryCHA | SG,33,616,22.2,39,21.7,12.2,4.9,30,21,2.5,36.4,79.2,17.8,-0.1,-0.42
Johnny DavisWAS | SG,21,613,24.8,35.1,21.4,11.6,7.2,47,21,2.7,42.4,67.4,4.5,0.46,0.09
MarJon BeauchampMIL | SG,23,608,25.7,30.1,24,13,7.1,68,26,2.1,35.2,57.8,-1.7,-0.74,0.09
